Date,ICICIBANK,RELIANCE,TATAMOTORS,VBL,^NSEI
2023-03-28,833.6435546875,1033.7998046875,399.1205749511719,270.0310363769531,16951.69921875
2023-03-29,829.9862060546875,1027.6834716796875,406.67364501953125,270.5592346191406,17080.69921875
2023-03-31,855.5879516601562,1071.992431640625,418.2020263671875,276.448974609375,17359.75
2023-04-03,861.9761962890625,1072.1763916015625,421.6307373046875,281.920166015625,17398.05078125
2023-04-05,862.7564697265625,1069.60107421875,423.91650390625,289.80303955078125,17557.05078125
2023-04-06,853.3935546875,1076.7750244140625,434.947998046875,277.74456787109375,17599.150390625
2023-04-10,847.0053100585938,1069.14111328125,458.45196533203125,281.77069091796875,17624.05078125
2023-04-11,860.1232299804688,1074.4296875,455.8680419921875,286.663818359375,17722.30078125
2023-04-12,868.1694946289062,1079.16650390625,462.6260681152344,288.68829345703125,17812.400390625
2023-04-13,876.8009033203125,1083.2364501953125,466.6013488769531,285.1280517578125,17828.0
2023-04-17,879.0441284179688,1088.7318115234375,469.2349853515625,289.625732421875,17706.849609375
2023-04-18,874.7039794921875,1076.269287109375,470.07977294921875,282.12628173828125,17660.150390625
2023-04-19,869.8762817382812,1081.6268310546875,466.501953125,287.22235107421875,17618.75
2023-04-20,872.3145141601562,1078.8905029296875,473.85626220703125,275.59423828125,17624.44921875
2023-04-21,863.7806396484375,1080.2471923828125,468.2908630371094,278.6757507324219,17624.05078125
2023-04-24,882.408935546875,1084.3861083984375,472.26617431640625,289.1470642089844,17743.400390625
2023-04-25,890.8941040039062,1092.686767578125,470.6263427734375,286.6638488769531,17769.25
2023-04-26,892.3571166992188,1086.2716064453125,475.2476501464844,288.97747802734375,17813.599609375
2023-04-27,895.673095703125,1093.146728515625,478.6266784667969,291.8695983886719,17915.05078125
2023-04-28,894.9904174804688,1113.1282958984375,481.95599365234375,288.2495422363281,18065.0
2023-05-02,899.3304443359375,1122.5787353515625,477.2850036621094,282.2459411621094,18147.650390625
2023-05-03,900.0619506835938,1112.9443359375,480.7137145996094,285.2577209472656,18089.849609375
2023-05-04,898.9403686523438,1125.77490234375,477.8315734863281,287.73089599609375,18255.80078125
2023-05-05,904.0607299804688,1122.900634765625,474.1544494628906,289.7254638671875,18069.0
2023-05-08,914.7404174804688,1136.765869140625,497.40997314453125,290.49334716796875,18264.400390625
2023-05-09,911.3267822265625,1140.283935546875,500.54052734375,300.26654052734375,18265.94921875
2023-05-10,912.9359741210938,1148.1248779296875,506.3544006347656,320.4013366699219,18315.099609375
2023-05-11,916.0082397460938,1140.62890625,508.4414367675781,315.0559997558594,18297.0
2023-05-12,920.5922241210938,1142.4913330078125,512.7645874023438,310.33892822265625,18314.80078125
2023-05-15,922.3965454101562,1144.7447509765625,527.5725708007812,310.8674621582031,18398.849609375
2023-05-16,922.9817504882812,1128.442138671875,517.9324951171875,313.9490051269531,18286.5
